,Variable1,Variable2,ADF Statistic
0,Group_0_Coint_0,Group_0_Coint_1,-2.529991873605854
1,Group_0_Coint_1,Group_0_Coint_0,-2.529991873605854
2,Group_0_Coint_0,Group_0_Coint_2,-2.174455664868564
3,Group_0_Coint_2,Group_0_Coint_0,-2.174455664868564
4,Group_0_Coint_0,Group_0_Coint_3,-2.0445450324630428
5,Group_0_Coint_3,Group_0_Coint_0,-2.0445450324630428
6,Group_0_Coint_0,Group_0_Coint_4,-2.1505107110250297
7,Group_0_Coint_4,Group_0_Coint_0,-2.1505107110250297
8,Group_0_Coint_0,Group_0_Coint_5,-1.6768852530574059
9,Group_0_Coint_5,Group_0_Coint_0,-1.6768852530574059
10,Group_0_Coint_0,Group_0_Coint_6,-1.7403398528639384
11,Group_0_Coint_6,Group_0_Coint_0,-1.7403398528639384
12,Group_0_Coint_0,Group_0_Coint_7,-1.8256434029240496
13,Group_0_Coint_7,Group_0_Coint_0,-1.8256434029240496
14,Group_0_Coint_0,Group_0_Coint_8,-2.798413669697884
15,Group_0_Coint_8,Group_0_Coint_0,-2.798413669697884
16,Group_0_Coint_0,Group_0_Coint_9,-2.2894936519194014
17,Group_0_Coint_9,Group_0_Coint_0,-2.2894936519194014
18,Group_0_Coint_0,Group_1_Coint_0,-1.6280583033412048
19,Group_1_Coint_0,Group_0_Coint_0,-1.6280583033412048
20,Group_0_Coint_0,Group_1_Coint_1,-1.6708883583296406
21,Group_1_Coint_1,Group_0_Coint_0,-1.6708883583296406
22,Group_0_Coint_0,Group_1_Coint_2,-2.009710174765809
23,Group_1_Coint_2,Group_0_Coint_0,-2.009710174765809
24,Group_0_Coint_0,Group_1_Coint_3,-1.6903959879280426
25,Group_1_Coint_3,Group_0_Coint_0,-1.6903959879280426
26,Group_0_Coint_0,Group_1_Coint_4,-1.7733340727713307
27,Group_1_Coint_4,Group_0_Coint_0,-1.7733340727713307
28,Group_0_Coint_0,Group_1_Coint_5,-1.858363721820952
29,Group_1_Coint_5,Group_0_Coint_0,-1.858363721820952
30,Group_0_Coint_0,Group_1_Coint_6,-1.656898392747682
31,Group_1_Coint_6,Group_0_Coint_0,-1.656898392747682
32,Group_0_Coint_0,Group_1_Coint_7,-1.936521364380519
33,Group_1_Coint_7,Group_0_Coint_0,-1.936521364380519
34,Group_0_Coint_0,Group_1_Coint_8,-1.7370892152078836
35,Group_1_Coint_8,Group_0_Coint_0,-1.7370892152078836
36,Group_0_Coint_0,Group_1_Coint_9,-1.7867987544019799
37,Group_1_Coint_9,Group_0_Coint_0,-1.7867987544019799
38,Group_0_Coint_0,Group_2_Coint_0,-1.5442197733736434
39,Group_2_Coint_0,Group_0_Coint_0,-1.5442197733736434
40,Group_0_Coint_0,Group_2_Coint_1,-1.399056713180667
41,Group_2_Coint_1,Group_0_Coint_0,-1.399056713180667
42,Group_0_Coint_0,Group_2_Coint_2,-1.350579123522438
43,Group_2_Coint_2,Group_0_Coint_0,-1.350579123522438
44,Group_0_Coint_0,Group_2_Coint_3,-1.4654787780739524
45,Group_2_Coint_3,Group_0_Coint_0,-1.4654787780739524
46,Group_0_Coint_0,Group_2_Coint_4,-1.7478811826832528
47,Group_2_Coint_4,Group_0_Coint_0,-1.7478811826832528
48,Group_0_Coint_0,Group_2_Coint_5,-1.4232665623517367
49,Group_2_Coint_5,Group_0_Coint_0,-1.4232665623517367
50,Group_0_Coint_0,Group_2_Coint_6,-1.4023332110758575
51,Group_2_Coint_6,Group_0_Coint_0,-1.4023332110758575
52,Group_0_Coint_0,Group_2_Coint_7,-1.4618442299085064
53,Group_2_Coint_7,Group_0_Coint_0,-1.4618442299085064
54,Group_0_Coint_0,Group_2_Coint_8,-1.439651954198948
55,Group_2_Coint_8,Group_0_Coint_0,-1.439651954198948
56,Group_0_Coint_0,Group_2_Coint_9,-1.2933777453943913
57,Group_2_Coint_9,Group_0_Coint_0,-1.2933777453943913
58,Group_0_Coint_0,Group_3_Coint_0,-1.5984262003468845
59,Group_3_Coint_0,Group_0_Coint_0,-1.5984262003468845
60,Group_0_Coint_0,Group_3_Coint_1,-1.609410728549827
61,Group_3_Coint_1,Group_0_Coint_0,-1.609410728549827
62,Group_0_Coint_0,Group_3_Coint_2,-1.6677361177171057
63,Group_3_Coint_2,Group_0_Coint_0,-1.6677361177171057
64,Group_0_Coint_0,Group_3_Coint_3,-1.5772629913455924
65,Group_3_Coint_3,Group_0_Coint_0,-1.5772629913455924
66,Group_0_Coint_0,Group_3_Coint_4,-1.697613962779181
67,Group_3_Coint_4,Group_0_Coint_0,-1.697613962779181
68,Group_0_Coint_0,Group_3_Coint_5,-1.6447405267648547
69,Group_3_Coint_5,Group_0_Coint_0,-1.6447405267648547
70,Group_0_Coint_0,Group_3_Coint_6,-1.6833195272102064
71,Group_3_Coint_6,Group_0_Coint_0,-1.6833195272102064
72,Group_0_Coint_0,Group_3_Coint_7,-1.826343569798863
73,Group_3_Coint_7,Group_0_Coint_0,-1.826343569798863
74,Group_0_Coint_0,Group_3_Coint_8,-1.7751496803860396
75,Group_3_Coint_8,Group_0_Coint_0,-1.7751496803860396
76,Group_0_Coint_0,Group_3_Coint_9,-1.5122743936216454
77,Group_3_Coint_9,Group_0_Coint_0,-1.5122743936216454
78,Group_0_Coint_0,Group_4_Coint_0,-2.950568800957712
79,Group_4_Coint_0,Group_0_Coint_0,-2.950568800957712
80,Group_0_Coint_0,Group_4_Coint_1,-2.9912534348706763
81,Group_4_Coint_1,Group_0_Coint_0,-2.9912534348706763
82,Group_0_Coint_0,Group_4_Coint_2,-2.995341523063597
83,Group_4_Coint_2,Group_0_Coint_0,-2.995341523063597
84,Group_0_Coint_0,Group_4_Coint_3,-2.940099498244662
85,Group_4_Coint_3,Group_0_Coint_0,-2.940099498244662
86,Group_0_Coint_0,Group_4_Coint_4,-2.9086025897227983
87,Group_4_Coint_4,Group_0_Coint_0,-2.9086025897227983
88,Group_0_Coint_0,Group_4_Coint_5,-2.927636287777416
89,Group_4_Coint_5,Group_0_Coint_0,-2.927636287777416
90,Group_0_Coint_0,Group_4_Coint_6,-2.925279794285637
91,Group_4_Coint_6,Group_0_Coint_0,-2.925279794285637
92,Group_0_Coint_0,Group_4_Coint_7,-2.946388166950479
93,Group_4_Coint_7,Group_0_Coint_0,-2.946388166950479
94,Group_0_Coint_0,Group_4_Coint_8,-2.9425488935749624
95,Group_4_Coint_8,Group_0_Coint_0,-2.9425488935749624
96,Group_0_Coint_0,Group_4_Coint_9,-2.9713767996888523
97,Group_4_Coint_9,Group_0_Coint_0,-2.9713767996888523
98,Group_0_Coint_0,Indep_0,-3.0754049418644027
99,Indep_0,Group_0_Coint_0,-3.0754049418644027
100,Group_0_Coint_0,Indep_1,-2.4851620869293978
101,Indep_1,Group_0_Coint_0,-2.4851620869293978
102,Group_0_Coint_0,Indep_2,-1.906239741338522
103,Indep_2,Group_0_Coint_0,-1.906239741338522
104,Group_0_Coint_0,Indep_3,-1.671821460946166
105,Indep_3,Group_0_Coint_0,-1.671821460946166
106,Group_0_Coint_0,Indep_4,-1.3490221342109703
107,Indep_4,Group_0_Coint_0,-1.3490221342109703
108,Group_0_Coint_1,Group_0_Coint_2,-2.7180031027834137
109,Group_0_Coint_2,Group_0_Coint_1,-2.7180031027834137
110,Group_0_Coint_1,Group_0_Coint_3,-2.9017996369736037
111,Group_0_Coint_3,Group_0_Coint_1,-2.9017996369736037
112,Group_0_Coint_1,Group_0_Coint_4,-2.819288531690527
113,Group_0_Coint_4,Group_0_Coint_1,-2.819288531690527
114,Group_0_Coint_1,Group_0_Coint_5,-2.0481388760877812
115,Group_0_Coint_5,Group_0_Coint_1,-2.0481388760877812
116,Group_0_Coint_1,Group_0_Coint_6,-2.0479141705859996
117,Group_0_Coint_6,Group_0_Coint_1,-2.0479141705859996
118,Group_0_Coint_1,Group_0_Coint_7,-2.351770724077871
119,Group_0_Coint_7,Group_0_Coint_1,-2.351770724077871
120,Group_0_Coint_1,Group_0_Coint_8,-3.142986863849595
121,Group_0_Coint_8,Group_0_Coint_1,-3.142986863849595
122,Group_0_Coint_1,Group_0_Coint_9,-2.843378212070497
123,Group_0_Coint_9,Group_0_Coint_1,-2.843378212070497
124,Group_0_Coint_1,Group_1_Coint_0,-1.7000299439593831
125,Group_1_Coint_0,Group_0_Coint_1,-1.7000299439593831
126,Group_0_Coint_1,Group_1_Coint_1,-1.7382610559775042
127,Group_1_Coint_1,Group_0_Coint_1,-1.7382610559775042
128,Group_0_Coint_1,Group_1_Coint_2,-2.0671456553617826
129,Group_1_Coint_2,Group_0_Coint_1,-2.0671456553617826
130,Group_0_Coint_1,Group_1_Coint_3,-1.7589891780930813
131,Group_1_Coint_3,Group_0_Coint_1,-1.7589891780930813
132,Group_0_Coint_1,Group_1_Coint_4,-1.8414603887324936
133,Group_1_Coint_4,Group_0_Coint_1,-1.8414603887324936
134,Group_0_Coint_1,Group_1_Coint_5,-1.9254676503528845
135,Group_1_Coint_5,Group_0_Coint_1,-1.9254676503528845
136,Group_0_Coint_1,Group_1_Coint_6,-1.7256841911541279
137,Group_1_Coint_6,Group_0_Coint_1,-1.7256841911541279
138,Group_0_Coint_1,Group_1_Coint_7,-2.0064506175279337
139,Group_1_Coint_7,Group_0_Coint_1,-2.0064506175279337
140,Group_0_Coint_1,Group_1_Coint_8,-1.8011649841778585
141,Group_1_Coint_8,Group_0_Coint_1,-1.8011649841778585
142,Group_0_Coint_1,Group_1_Coint_9,-1.84885790556268
143,Group_1_Coint_9,Group_0_Coint_1,-1.84885790556268
144,Group_0_Coint_1,Group_2_Coint_0,-1.6056989989316754
145,Group_2_Coint_0,Group_0_Coint_1,-1.6056989989316754
146,Group_0_Coint_1,Group_2_Coint_1,-1.4626824520044546
147,Group_2_Coint_1,Group_0_Coint_1,-1.4626824520044546
148,Group_0_Coint_1,Group_2_Coint_2,-1.4080423255799321
149,Group_2_Coint_2,Group_0_Coint_1,-1.4080423255799321
150,Group_0_Coint_1,Group_2_Coint_3,-1.5315441492332702
151,Group_2_Coint_3,Group_0_Coint_1,-1.5315441492332702
152,Group_0_Coint_1,Group_2_Coint_4,-1.8111145321804998
153,Group_2_Coint_4,Group_0_Coint_1,-1.8111145321804998
154,Group_0_Coint_1,Group_2_Coint_5,-1.4846974478243264
155,Group_2_Coint_5,Group_0_Coint_1,-1.4846974478243264
156,Group_0_Coint_1,Group_2_Coint_6,-1.4637798039494474
157,Group_2_Coint_6,Group_0_Coint_1,-1.4637798039494474
158,Group_0_Coint_1,Group_2_Coint_7,-1.523346062534612
159,Group_2_Coint_7,Group_0_Coint_1,-1.523346062534612
160,Group_0_Coint_1,Group_2_Coint_8,-1.5026932031527016
161,Group_2_Coint_8,Group_0_Coint_1,-1.5026932031527016
162,Group_0_Coint_1,Group_2_Coint_9,-1.3466649309496295
163,Group_2_Coint_9,Group_0_Coint_1,-1.3466649309496295
164,Group_0_Coint_1,Group_3_Coint_0,-1.6383817507050804
165,Group_3_Coint_0,Group_0_Coint_1,-1.6383817507050804
166,Group_0_Coint_1,Group_3_Coint_1,-1.6467323042320638
167,Group_3_Coint_1,Group_0_Coint_1,-1.6467323042320638
168,Group_0_Coint_1,Group_3_Coint_2,-1.701566961449459
169,Group_3_Coint_2,Group_0_Coint_1,-1.701566961449459
170,Group_0_Coint_1,Group_3_Coint_3,-1.6170473437107336
171,Group_3_Coint_3,Group_0_Coint_1,-1.6170473437107336
172,Group_0_Coint_1,Group_3_Coint_4,-1.7334729343040154
173,Group_3_Coint_4,Group_0_Coint_1,-1.7334729343040154
174,Group_0_Coint_1,Group_3_Coint_5,-1.680126062337275
175,Group_3_Coint_5,Group_0_Coint_1,-1.680126062337275
176,Group_0_Coint_1,Group_3_Coint_6,-1.7162475759548639
177,Group_3_Coint_6,Group_0_Coint_1,-1.7162475759548639
178,Group_0_Coint_1,Group_3_Coint_7,-1.8556744190630792
179,Group_3_Coint_7,Group_0_Coint_1,-1.8556744190630792
180,Group_0_Coint_1,Group_3_Coint_8,-1.804845216308578
181,Group_3_Coint_8,Group_0_Coint_1,-1.804845216308578
182,Group_0_Coint_1,Group_3_Coint_9,-1.5514307262532512
183,Group_3_Coint_9,Group_0_Coint_1,-1.5514307262532512
184,Group_0_Coint_1,Group_4_Coint_0,-2.79750828364702
185,Group_4_Coint_0,Group_0_Coint_1,-2.79750828364702
186,Group_0_Coint_1,Group_4_Coint_1,-2.836014865673728
187,Group_4_Coint_1,Group_0_Coint_1,-2.836014865673728
188,Group_0_Coint_1,Group_4_Coint_2,-2.8367057314712207
189,Group_4_Coint_2,Group_0_Coint_1,-2.8367057314712207
190,Group_0_Coint_1,Group_4_Coint_3,-2.789144470463017
191,Group_4_Coint_3,Group_0_Coint_1,-2.789144470463017
192,Group_0_Coint_1,Group_4_Coint_4,-2.7584900043772493
193,Group_4_Coint_4,Group_0_Coint_1,-2.7584900043772493
194,Group_0_Coint_1,Group_4_Coint_5,-2.778522985112796
195,Group_4_Coint_5,Group_0_Coint_1,-2.778522985112796
196,Group_0_Coint_1,Group_4_Coint_6,-2.774939185388521
197,Group_4_Coint_6,Group_0_Coint_1,-2.774939185388521
198,Group_0_Coint_1,Group_4_Coint_7,-2.7957260745882286
199,Group_4_Coint_7,Group_0_Coint_1,-2.7957260745882286
200,Group_0_Coint_1,Group_4_Coint_8,-2.788020485378566
201,Group_4_Coint_8,Group_0_Coint_1,-2.788020485378566
202,Group_0_Coint_1,Group_4_Coint_9,-2.8154431922088476
203,Group_4_Coint_9,Group_0_Coint_1,-2.8154431922088476
204,Group_0_Coint_1,Indep_0,-3.114502580201371
205,Indep_0,Group_0_Coint_1,-3.114502580201371
206,Group_0_Coint_1,Indep_1,-2.6109318247049846
207,Indep_1,Group_0_Coint_1,-2.6109318247049846
208,Group_0_Coint_1,Indep_2,-1.8796002255661535
209,Indep_2,Group_0_Coint_1,-1.8796002255661535
210,Group_0_Coint_1,Indep_3,-1.719923172735797
211,Indep_3,Group_0_Coint_1,-1.719923172735797
212,Group_0_Coint_1,Indep_4,-1.392200640646891
213,Indep_4,Group_0_Coint_1,-1.392200640646891
214,Group_0_Coint_2,Group_0_Coint_3,-4.230593884925236
215,Group_0_Coint_3,Group_0_Coint_2,-4.230593884925236
216,Group_0_Coint_2,Group_0_Coint_4,-3.0586149498994804
217,Group_0_Coint_4,Group_0_Coint_2,-3.0586149498994804
